Pedigree	SFGL_ID	SEQ #	Survey Date	River	Survey Type	Crew Initials	Crew Initials	Start Time	End Time	Water Temp	Reach	Fish ID	Time Collected	Clipped (Y/N)	F.L (cm)	Sex (M/F)	DNA Sampled (Y/N)	Scale Sampled (Y/N)	Otolith (Y/N)	Egg Retention % (F only)	ODFW CWT number	Floy Tag (Y/N)	Floy tag color	Floy tag number	Comments	Entered By	Date Entered	Checked By	Date Checked
OtsCC19SSNT	OtsCC19SSNT_2016	76	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2016	11:54	Y	77	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2017	77	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2017	11:54	Y	75	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2018	78	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2018	11:54	Y	90	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2019	79	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2019	11:54	N	73	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2020	80	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2020	11:54	Y	79	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2155	81	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2155	13:10	Y	72	F	Y	Y	N	100	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2156	82	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2156	13:10	Y	81	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2157	83	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2157	13:10	Y	85	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2158	84	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2158	13:10	N	77	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2160	85	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2160	11:19	Y	76	F	Y	Y	N	0	19P_7901	N	N/A	N/A	CWT 19P-7901	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SFMK	OtsCC19SFMK_1381	86	9/25/2019	South Fork McKenzie 	IK	BL	AP	12:04	14:23	9.5	Bridge to Mouth	1381	13:49	N	74	F	Y	Y	Y	90	N/A	N	N/A	N/A	Phase 2 to Phase 1	MRM	27-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1147	87	9/26/2019	McKenzie	Raft	KH	AP	10:05	15:40	12.5	Deerhorn to Hendricks	1147	12:15	N	75	F	Y	Y	Y	100	N/A	N	N/A	N/A		MRM	27-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1143	88	9/26/2019	McKenzie	Raft	KH	AP	10:05	15:40	12.5	Deerhorn to Hendricks	1143	13:58	N	97	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	27-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1148	89	9/26/2019	McKenzie	Raft	KH	AP	10:05	15:40	12.5	Deerhorn to Hendricks	1148	15:02	Y	78	F	Y	Y	N	100	N/A	N	N/A	N/A		MRM	27-Sep-19	EP	13-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1383	90	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1383	11:30	N	79	F	Y	Y	Y	5	N/A	Y	GREY	456	Grey Floy 456	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1384	91	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1384	11:30	N	80	F	Y	Y	Y	5	N/A	Y	GREY	419	Grey Floy 419	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1353	92	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1353	14:00	N	81	UNKNOWN	Y	Y	Y	UNKNOWN	N/A	N	N/A	N/A	DNA from pectoral fin (Scavenged)	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1387	93	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1387	14:00	N	84	F	Y	Y	Y	0	N/A	Y	WHITE	452	White Floy 452	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1355	94	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1355	14:00	N	64	M	Y	Y	Y	N/A	N/A	Y	WHITE	374	DNA from Pectoral Fin, White Floy tag 374	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1388	95	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1388	14:35	N	67	F	Y	Y	Y	0	N/A	Y	GREY	271	DNA from Pectoral Fin, Grey Floy 271	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1385	96	9/26/2019	North Santiam	IK	CZ	BL	10:17	14:37	10.2	Big Cliff Dam to Minto Dam	1385	11:30	UNKNOWN	UNKNOWN	UNKNOWN	N	N	N	UNKNOWN	19P_8002	N	N/A	N/A	Head Only	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1352	97	9/26/2019	North Santiam	IK	CZ	BL	14:37	14:59	10.9	Minto Dam to Packsaddle	1352	14:59	N	68	M	Y	Y	Y	N/A	N/A	Y	WHITE	409	White Floy 409	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1701	98	9/27/2019	North Santiam	Raft	BL,BD	AP	10:02	11:26	12.1	Mehama to Powerlines	1701	11:26	UNKNOWN	79	UNKNOWN	Y	Y	Y	UNKNOWN	N/A	N	N/A	N/A	Scavenged, took otoliths, Too decomposed to ID	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2151	99	9/27/2019	North Santiam	Raft	CZ	PH	10:03	12:00	10.3	Packsaddle to Gates Bridge	2151	11:00	N	81	F	Y	Y	Y	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2152	100	9/27/2019	North Santiam	Raft	CZ	PH	10:03	12:00	10.3	Packsaddle to Gates Bridge	2152	11:00	N	77	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2153	101	9/27/2019	North Santiam	Raft	CZ	PH	10:03	12:00	10.3	Packsaddle to Gates Bridge	2153	11:00	Y	82	F	Y	Y	N	0	N/A	N	N/A	N/A	Misclipped adipose fin	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2154	102	9/27/2019	North Santiam	Raft	CZ	PH	10:03	12:00	10.3	Packsaddle to Gates Bridge	2154	11:00	N	80	F	Y	Y	Y	0	N/A	N	N/A	N/A	DNA from Pectoral Fin	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2146	103	9/27/2019	North Santiam	Raft	CZ	PH	10:03	12:00	10.3	Packsaddle to Gates Bridge	2146	11:40	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2147	104	9/27/2019	North Santiam	Raft	CZ	PH	10:03	12:00	10.3	Packsaddle to Gates Bridge	2147	11:40	N	80	F	Y	Y	Y	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2021	105	9/27/2019	North Santiam	Raft	EP	DA	11:15	12:49	11.8	Upper Bennett to Stayton via South Channel	2021	11:48	N	75	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2022	106	9/27/2019	North Santiam	Raft	EP	DA	11:15	12:49	11.8	Upper Bennett to Stayton via South Channel	2022	12:10	N	83	F	Y	Y	Y	25	N/A	N	N/A	N/A	Picture 384 4216, Camera 0168	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1386	107	9/27/2019	North Santiam	Raft	BL,BD	AP	11:35	13:16	13.4	Powerlines to Upper Bennett	1386	13:16	N	87	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2116	108	9/27/2019	North Santiam	Raft	CZ	PH	12:00	13:15	10.3	Gates to Mill City	2116	12:30	Y	80	F	Y	Y	N	0	N/A	Y	WHITE	322	Floy white 322	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2039	109	9/27/2019	North Santiam	Raft	CZ	PH	13:15	14:15	10.9	Mill City to Fishermans Bend	2039	13:30	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A	otoliths cut, all pieces collected	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2040	110	9/27/2019	North Santiam	Raft	CZ	PH	13:15	14:15	10.9	Mill City to Fishermans Bend	2040	13:30	N	88	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	DNA from Pectoral 	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_1451	111	9/27/2019	North Santiam	Raft	BL,BD	AP	13:35	15:25	14.4	Upper Bennett to Stayton via North Channel	1451	15:25	N	72	F	Y	Y	Y	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2038	112	9/28/2019	North Santiam	Raft & IK	MP,DA	CZ	8:43	11:09	9.9	Fishermans Bend to Mehama	2038	11:00	N	69	F	Y	Y	Y	0	N/A	N	N/A	N/A	DNA from pectoral fin; 1 otolith	MP	1-Oct-19	MRM	18-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1146	113	9/28/2019	Horse Creek	Ik	AP	BL	11:04	12:35	6.8	Road Access to Braids	1146	11:30	N	62	F	Y	Y	Y	UNKNOWN	N/A	N	N/A	N/A	pictures 1666 and 1665 camera 0172, scavenged	MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1150	114	9/28/2019	Horse Creek	Ik	AP	BL	11:04	12:35	6.8	Road Access to Braids	1150	11:30	N	73	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	pictures 1666 and 1665 camera 0172	MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1149	115	9/28/2019	Horse Creek	Ik	AP	BL	13:53	16:15	9.2	Avenue Creek to Bridge	1149	15:00	N	66	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1145	116	9/28/2019	Horse Creek	Ik	AP	BL	13:53	16:15	9.2	Avenue Creek to Bridge	1145	15:00	N	82	F	Y	Y	Y	5	N/A	N	N/A	N/A		MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1144	117	9/28/2019	Horse Creek	Ik	AP	BL	13:53	16:15	9.2	Avenue Creek to Bridge	1144	15:00	N	81	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1571	118	9/28/2019	Horse Creek	Ik	AP	BL	13:53	16:15	9.2	Avenue Creek to Bridge	1571	15:00	N	84	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1142	119	9/28/2019	Horse Creek	Ik	AP	BL	13:53	16:15	9.2	Avenue Creek to Bridge	1142	15:00	N	84	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1141	120	9/28/2019	Horse Creek	Ik	AP	BL	13:53	16:15	9.2	Avenue Creek to Bridge	1141	15:00	N	72	M	Y	N	Y	N/A	N/A	N	N/A	N/A	dna from flesh - scavenged, no scales	MRM	29-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1810	121	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1810	12:15	Y	80	F	Y	Y	N	0	19P_7713	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1544	122	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1544	12:50	Y	77	M	Y	Y	N	N/A	19P_7714	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1545	123	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1545	14:36	Y	68	F	Y	Y	N	0	19P_7715	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1483	124	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1483	14:36	Y	77	F	Y	Y	N	0	19P_7716	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1724	125	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1724	14:36	Y	72	F	Y	Y	N	0	19P_7717	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1689	126	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1689	13:15	Y	70	F	Y	Y	N	5	19P_7718	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1572	127	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1572	10:55	Y	75	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1573	128	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1573	10:55	N	70	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1574	129	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1574	10:55	Y	75	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1575	130	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1575	10:55	N	74	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1576	131	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1576	10:55	N	86	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1577	132	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1577	10:55	N	81	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1578	133	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1578	10:55	N	90	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1579	134	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1579	10:55	N	76	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1580	135	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1580	10:55	N	72	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1806	136	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1806	12:15	Y	76	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1807	137	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1807	12:15	N	82	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1808	138	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1808	12:15	N	87	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1809	139	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1809	12:15	N	72	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1801	140	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1801	12:15	N	83	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1802	141	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1802	12:15	N	90	F	Y	Y	Y	5	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1803	142	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1803	12:15	Y	77	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1804	143	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1804	12:15	Y	83	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1805	144	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1805	12:15	Y	86	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1546	145	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1546	14:36	Y	66	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1548	146	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1548	14:36	N	68	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1549	147	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1549	14:36	N	77	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1702	148	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1702	12:00	N	82	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1703	149	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1703	12:00	Y	73	F	Y	Y	N	5	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1704	150	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1704	12:00	N	94	M	Y	N	Y	N/A	N/A	N	N/A	N/A	NO SCALES	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1705	151	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1705	12:00	N	79	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1706	152	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1706	12:00	N	86	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1707	153	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1707	12:00	N	84	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1708	154	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1708	12:00	Y	70	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1709	155	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1709	12:00	Y	75	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1681	156	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1681	13:15	N	74	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
