Pedigree	SFGL_ID	SEQ #	Survey Date	River	Survey Type	Crew Initials	Crew Initials	Start Time	End Time	Water Temp	Reach	Fish ID	Time Collected	Clipped (Y/N)	F.L (cm)	Sex (M/F)	DNA Sampled (Y/N)	Scale Sampled (Y/N)	Otolith (Y/N)	Egg Retention % (F only)	ODFW CWT number	Floy Tag (Y/N)	Floy tag color	Floy tag number	Comments	Entered By	Date Entered	Checked By	Date Checked
OtsCC19MCKR	OtsCC19MCKR_1682	157	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1682	13:15	Y	78	M	Y	Y	N	N/A	N/A	N	N/A	N/A	ONLY TWO SCALES	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1683	158	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1683	13:15	Y	79	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1684	159	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1684	13:15	Y	73	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1685	160	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1685	13:15	N	86	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1686	161	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1686	13:15	Y	89	M	Y	N	N	N/A	N/A	N	N/A	N/A	NO SCALES	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1687	162	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1687	13:15	N	80	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	1 SCALE	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1688	163	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1688	13:15	Y	82	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1690	164	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1690	13:15	N	89	F	Y	Y	Y	5	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_0474	165	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	474	13:15	N	80	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1550	166	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1550	14:36	N	79	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1481	167	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1481	14:36	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1482	168	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1482	14:36	Y	80	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1484	169	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1484	14:36	N	88	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1485	170	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1485	14:36	N	79	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1721	171	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1721	14:36	N	74	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1722	172	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1722	14:36	Y	68	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1723	173	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1723	14:36	N	80	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1725	174	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1725	14:36	Y	80	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1726	175	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1726	14:36	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1727	176	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1727	14:36	Y	82	F	Y	Y	N	10	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1728	177	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1728	14:36	Y	71	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1729	178	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1729	14:36	Y	79	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1730	179	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1730	14:36	Y	82	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1371	180	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1371	18:20	N	74	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1372	181	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1372	18:20	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A	one otolith	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1373	182	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1373	18:20	N	70	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1374	183	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1374	18:20	N	69	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1375	184	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1375	18:20	Y	60	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1376	185	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1376	18:30	Y	76	F	Y	Y	N	5	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1377	186	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1377	18:44	N	99	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1378	187	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1378	18:44	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1379	188	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1379	18:52	N	84	F	Y	Y	N	0	N/A	N	N/A	N/A	couldn’t recover otoliths- (changed OTOLITH Y to N MRM31oct19)	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1380	189	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1380	18:52	N	87	M	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1421	190	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1421	19:00	N	81	F	Y	Y	Y	0	N/A	N	N/A	N/A	only one otolith	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1422	191	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1422	19:00	N	80	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	only one otolith	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1423	192	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1423	19:00	N	80	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1424	193	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1424	19:15	N	85	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1425	194	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1425	19:20	N	87	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1426	195	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1426	19:20	Y	93	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1427	196	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1427	19:25	N	82	F	Y	Y	Y	0	N/A	N	N/A	N/A	only one otolith	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1428	197	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1428	19:25	Y	83	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1429	198	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1429	19:27	Y	90	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1121	199	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1121	18:55	Y	83	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1122	200	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1122	18:55	Y	80	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1123	201	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1123	18:55	N	81	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1124	202	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1124	18:55	N	85	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1125	203	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1125	18:55	N	90	M	Y	N	Y	N/A	N/A	N	N/A	N/A	NO SCALES	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1126	204	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1126	18:55	N	79	F	Y	Y	Y	0	N/A	N	N/A	N/A	only 3 scales	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1127	205	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1127	18:55	Y	82	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1128	206	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1128	18:55	Y	80	F	Y	Y	N	5	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1129	207	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1129	18:55	N	87	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1130	208	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1130	18:55	N	94	M	Y	Y	Y	N/A	N/A	N	N/A	N/A	only 3 scales	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1486	209	9/30/2019	McKenzie	Raft & IK	PH,DA	EP,BD	10:15	19:27	7.1	Forrest Glen to Rosborro	1486	18:55	N	101	M	Y	N	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2001	210	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	10:15	12:50	8.4	Helfrich to Leaburg Lake	2001	12:30	Y	70	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2002	211	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	10:15	12:50	8.4	Helfrich to Leaburg Lake	2002	12:35	N	92	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2003	212	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	10:15	12:50	8.4	Helfrich to Leaburg Lake	2003	12:40	Y	74	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2004	213	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	10:15	12:50	8.4	Helfrich to Leaburg Lake	2004	12:45	Y	63	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2005	214	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	10:15	12:50	8.4	Helfrich to Leaburg Lake	2005	12:50	Y	82	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2025	215	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2025	13:30	Y	87	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2026	216	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2026	13:30	Y	82	F	Y	Y	N	10	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2027	217	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2027	16:00	Y	86	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2028	218	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2028	16:00	Y	81	F	Y	Y	N	0	N/A	N	N/A	N/A	Misclipped adipose fin	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2024	219	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2024	16:00	Y	85	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2159	220	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2159	16:00	Y	67	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2029	221	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2029	16:00	Y	76	F	Y	N	N	0	19P_7902	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2032	222	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2032	13:30	Y	77	F	Y	Y	N	40	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2033	223	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2033	13:30	N	87	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2034	224	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2034	13:30	Y	76	F	Y	Y	N	0	N/A	N	N/A	N/A	Misclipped adipose fin	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2035	225	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2035	14:00	Y	78	F	Y	Y	N	15	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2036	226	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2036	14:00	Y	89	F	Y	Y	N	25	N/A	N	N/A	N/A	Misclipped adipose fin	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2037	227	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2037	15:40	N	94	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2030	228	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2030	16:00	Y	69	F	Y	Y	N	0	19P_7975	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2031	229	9/30/2019	McKenzie	Raft	MRM,CZ	MP,BL	13:09	16:36	9.0	Leaburg Dam to Leaburg Landing	2031	13:30	Y	79	F	Y	Y	N	0	19P_7976	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1984	230	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1984	19:00	Y	77	F	N	Y	N	0	19P_7903	N	N/A	N/A	CWT 19P_7903	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1989	231	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1989	19:00	Y	72	M	Y	Y	N	N/A	19P_7904	N	N/A	N/A	CWT 19P_7904	MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1301	232	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1301	18:35	N	75	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1302	233	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1302	18:35	N	87	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1303	234	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1303	18:35	N	88	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1304	235	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1304	18:35	N	97	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1305	236	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1305	18:35	N	79	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1306	237	9/30/2019	McKenzie	Raft & IK	PH,DA,BL,BD	EP,BD,CZ,MRM,MP	17:30	19:10	10.8	Rosborro to Ben and Kay	1306	18:35	N	69	M	Y	N	Y	N/A	N/A	N	N/A	N/A		MRM	3-Oct-19	EP	13-Oct-19
